Gene ID,Gene Name,root,leaf,flower bud,flower,1 cm fruit,2 cm fruit,3 cm fruit,mature green fruit,breaker fruit,fruit at 10 days after the breaker stage
Solyc06g074480.2,Solyc06g074480.2,10,3,5,6,9,13,9,8,6,8
Solyc06g074490.1,Solyc06g074490.1,538,221,345,362,518,723,674,442,453,324
Solyc06g074500.1,Solyc06g074500.1,17,14,6,5,,1,1,,,
Solyc06g074510.2,Solyc06g074510.2,1,46,11,45,8,8,6,4,4,2
Solyc06g074530.1,Solyc06g074530.1,159,11,19,657,41,25,8,90,42,13
Solyc06g074540.2,Solyc06g074540.2,17,5,16,12,11,4,2,1,,
Solyc06g074550.2,Solyc06g074550.2,4,1,1,0.8,3,1,2,4,1,0.3
Solyc06g074560.1,Solyc06g074560.1,3,0.3,0.5,1,1,4,5,7,7,4
Solyc06g074570.1,Solyc06g074570.1,0.1,,,,,,0.3,,0.1,0.1
Solyc06g074580.1,Solyc06g074580.1,0.4,,,,0.9,1,5,0.9,0.8,0.7
Solyc06g074590.1,Solyc06g074590.1,96,11,29,89,41,162,248,44,73,78
Solyc06g074600.1,Solyc06g074600.1,,,,,,1,0.4,,,0.3
Solyc06g074610.1,Solyc06g074610.1,,,,0.6,,0.9,1,,,0.5
Solyc06g074620.2,Solyc06g074620.2,46,8,4,30,11,7,10,70,31,37
Solyc06g074630.2,Solyc06g074630.2,37,6,8,3,22,48,16,34,1,2
Solyc06g074640.1,Solyc06g074640.1,0.4,,0.2,0.1,0.1,,0.1,,,
Solyc06g074650.2,Solyc06g074650.2,49,14,14,18,24,30,21,28,23,24
Solyc06g074670.2,Solyc06g074670.2,50,26,58,46,95,93,20,102,15,35
Solyc06g074680.2,Solyc06g074680.2,,,,,,0.1,0.1,0.2,,
Solyc06g074690.2,Solyc06g074690.2,6,3,3,4,7,6,6,8,4,5
Solyc06g074700.2,Solyc06g074700.2,37,15,18,21,32,37,47,30,22,21
Solyc06g074710.1,Solyc06g074710.1,11,0.4,46,39,45,132,33,9,9,190
Solyc06g074720.2,Solyc06g074720.2,109,31,76,116,94,158,287,476,437,433
Solyc06g074730.2,Solyc06g074730.2,4,0.8,84,6,8,7,5,3,0.9,0.3
Solyc06g074740.2,Solyc06g074740.2,39,16,13,14,25,28,38,30,23,42
Solyc06g074750.1,Solyc06g074750.1,1,0.1,1,2,1,4,21,8,39,12
Solyc06g074760.1,Solyc06g074760.1,0.4,0.5,0.5,0.3,0.1,,0.1,0.1,,
Solyc06g074770.2,Solyc06g074770.2,7,3,3,4,5,6,4,6,7,9
Solyc06g074780.1,Solyc06g074780.1,156,45,107,107,199,214,145,144,135,147
Solyc06g074790.1,Solyc06g074790.1,165,40,209,55,450,257,125,107,29,5
Solyc06g074800.1,Solyc06g074800.1,18,5,19,118,1,4,3,2,3,0.8
Solyc06g074810.2,Solyc06g074810.2,11,4,2,3,2,4,7,5,5,5
Solyc06g074820.2,Solyc06g074820.2,1162,786,1560,2383,1130,748,499,112,15,19
Solyc06g074840.2,Solyc06g074840.2,46,15,21,24,20,27,23,28,23,38
Solyc06g074850.2,Solyc06g074850.2,53,18,32,5,2,2,1,0.1,,
Solyc06g074870.1,Solyc06g074870.1,0.1,,,,,0.1,,,,
Solyc06g074890.1,Solyc06g074890.1,2,124,22,17,38,33,32,28,6,0.7
Solyc06g074900.1,Solyc06g074900.1,7,16,7,4,9,12,7,7,3,3
Solyc06g074910.2,Solyc06g074910.2,8,,,,,,,,,
Solyc06g074920.1,Solyc06g074920.1,0.2,,,,,,,,,
Solyc06g074930.1,Solyc06g074930.1,,,0.1,0.2,,,,,,
Solyc06g074940.2,Solyc06g074940.2,7,2,10,43,6,12,16,22,29,33
Solyc06g074950.1,Solyc06g074950.1,,,0.7,0.2,,,,,,
Solyc06g074960.2,Solyc06g074960.2,16,5,8,9,4,5,7,9,10,8
Solyc06g074970.1,Solyc06g074970.1,14,4,5,5,9,9,17,15,6,2
Solyc06g074980.2,Solyc06g074980.2,253,59,78,133,134,251,295,334,266,302
Solyc06g074990.1,Solyc06g074990.1,788,0.3,0.1,0.2,,0.2,0.1,0.2,,0.4
Solyc06g075000.2,Solyc06g075000.2,1,3,2,1,3,2,2,2,2,2
Solyc06g075010.2,Solyc06g075010.2,66,15,101,24,114,119,86,52,12,1
Solyc06g075020.2,Solyc06g075020.2,0.1,,3,0.9,0.2,0.1,,0.1,,
Solyc06g075030.1,Solyc06g075030.1,11,7,6,8,8,7,12,9,8,4
Solyc06g075040.1,Solyc06g075040.1,1,,,,,,,,,
Solyc06g075050.1,Solyc06g075050.1,0.1,,,0.3,,,,,,
Solyc06g075070.2,Solyc06g075070.2,,,,,,,0.1,,,
Solyc06g075080.2,Solyc06g075080.2,31,48,51,85,58,65,49,61,40,45
Solyc06g075090.2,Solyc06g075090.2,0.5,12,8,14,0.8,1,0.3,,,
Solyc06g075100.2,Solyc06g075100.2,3,,0.4,2,,0.1,,0.2,0.6,0.6
Solyc06g075110.2,Solyc06g075110.2,39,21,34,35,34,32,30,34,27,37
Solyc06g075120.1,Solyc06g075120.1,0.4,,2,,,0.5,,,,
Solyc06g075130.2,Solyc06g075130.2,0.4,0.2,17,5,0.5,0.4,0.1,0.3,0.1,0.1
Solyc06g075140.2,Solyc06g075140.2,,0.4,2,0.5,2,0.7,0.5,0.1,,
Solyc06g075150.2,Solyc06g075150.2,2,3,6,3,3,3,2,12,7,6
Solyc06g075160.2,Solyc06g075160.2,34,27,17,44,17,19,22,25,18,16
Solyc06g075170.1,Solyc06g075170.1,1,24,16,39,18,14,16,10,17,9
Solyc06g075180.1,Solyc06g075180.1,375,66,137,126,458,488,592,361,199,78
Solyc06g075190.1,Solyc06g075190.1,312,84,87,47,113,138,115,108,48,22
Solyc06g075200.1,Solyc06g075200.1,0.6,,0.2,0.3,,0.4,,,,
Solyc06g075210.2,Solyc06g075210.2,,,19,0.5,,,0.1,0.1,,
Solyc06g075220.1,Solyc06g075220.1,64,6,4,1,3,3,0.7,0.6,,
Solyc06g075250.2,Solyc06g075250.2,57,24,12,16,31,41,30,49,41,55
Solyc06g075260.2,Solyc06g075260.2,0.4,,179,0.3,0.2,,0.1,0.3,,
Solyc06g075270.2,Solyc06g075270.2,0.5,0.1,174,1,0.1,,0.2,0.5,0.1,
Solyc06g075280.2,Solyc06g075280.2,,0.7,9,0.3,0.1,,0.1,,,
Solyc06g075290.2,Solyc06g075290.2,0.1,,26,0.3,,,,0.1,,
Solyc06g075300.1,Solyc06g075300.1,,,0.1,0.1,,,,,,
Solyc06g075310.2,Solyc06g075310.2,19,5,4,4,4,4,5,6,7,5
Solyc06g075320.2,Solyc06g075320.2,0.3,0.1,187,1,,0.1,0.1,,,
Solyc06g075330.1,Solyc06g075330.1,0.1,1,0.6,3,2,0.4,0.3,,,
Solyc06g075340.2,Solyc06g075340.2,45,15,16,20,38,87,82,76,84,108
Solyc06g075350.1,Solyc06g075350.1,6,3,6,7,8,6,9,9,6,6
Solyc06g075360.2,Solyc06g075360.2,162,16,68,56,68,54,82,102,33,29
Solyc06g075370.2,Solyc06g075370.2,21,8,10,13,20,26,24,13,1,1
Solyc06g075390.2,Solyc06g075390.2,42,21,43,40,52,49,107,85,71,53
Solyc06g075400.2,Solyc06g075400.2,14,10,23,14,7,9,7,7,5,4
Solyc06g075410.2,Solyc06g075410.2,1,0.1,0.4,0.3,0.7,0.5,0.2,0.5,0.2,0.1
Solyc06g075420.1,Solyc06g075420.1,3,0.6,1,0.6,3,2,0.8,0.4,0.2,0.2
Solyc06g075430.1,Solyc06g075430.1,,,1,,,,,,,
Solyc06g075440.1,Solyc06g075440.1,,0.1,,,0.1,,,0.1,0.3,
Solyc06g075450.1,Solyc06g075450.1,3,,0.1,,2,3,2,0.3,,0.1
Solyc06g075460.2,Solyc06g075460.2,0.3,11,2,0.7,0.2,,0.3,0.2,,
Solyc06g075470.1,Solyc06g075470.1,,,0.2,,,,,,,
Solyc06g075480.2,Solyc06g075480.2,4,0.1,0.1,0.1,0.1,0.2,,,,
Solyc06g075490.1,Solyc06g075490.1,0.1,,,,,0.1,,,,
Solyc06g075500.2,Solyc06g075500.2,26,8,0.5,5,0.1,0.1,0.1,,,
Solyc06g075510.2,Solyc06g075510.2,18,8,7,2,10,5,1,2,0.2,0.1
Solyc06g075520.2,Solyc06g075520.2,2,0.6,7,2,,0.4,0.5,4,0.7,3
Solyc06g075530.1,Solyc06g075530.1,7,1,0.2,0.3,0.7,3,7,6,6,19
Solyc06g075540.2,Solyc06g075540.2,22,20,29,18,33,33,26,28,27,29
Solyc06g075550.2,Solyc06g075550.2,48,7,44,243,18,33,26,50,29,29
Solyc06g075560.1,Solyc06g075560.1,0.1,,12,0.3,,,,0.1,,
Solyc06g075570.1,Solyc06g075570.1,6,0.1,0.1,0.1,0.1,,,,,
Solyc06g075580.2,Solyc06g075580.2,15,11,10,17,20,23,17,18,0.8,0.6
Solyc06g075590.2,Solyc06g075590.2,49,30,39,35,49,54,59,64,67,50
Solyc06g075600.2,Solyc06g075600.2,11,0.6,3,4,3,2,3,1,0.4,0.1
Solyc06g075610.1,Solyc06g075610.1,3,26,8,4,11,5,1,21,7,0.9
Solyc06g075620.2,Solyc06g075620.2,51,21,45,36,55,60,70,46,34,33
Solyc06g075630.2,Solyc06g075630.2,95,0.1,0.1,0.1,0.2,0.2,,0.1,,
Solyc06g075640.1,Solyc06g075640.1,3,0.3,1,0.2,2,0.4,0.3,,,
Solyc06g075650.2,Solyc06g075650.2,342,40,5,56,0.2,2,0.5,,,0.2
Solyc06g075660.2,Solyc06g075660.2,37,18,2,2,0.5,0.8,0.1,0.1,,0.1
Solyc06g075680.1,Solyc06g075680.1,,0.2,0.3,0.2,0.1,,,,0.1,0.1
Solyc06g075690.2,Solyc06g075690.2,6,4,2,3,32,20,5,60,12,23
Solyc06g075700.2,Solyc06g075700.2,,,1,,,,,,,
Solyc06g075710.1,Solyc06g075710.1,,,3,,,,,,,
Solyc06g075720.1,Solyc06g075720.1,,,0.3,,,,,,0.1,0.4
Solyc06g075730.1,Solyc06g075730.1,,,0.6,0.5,,,,,,0.1
Solyc06g075750.1,Solyc06g075750.1,,,1,,,,,,,
Solyc06g075770.1,Solyc06g075770.1,,,0.4,,0.1,,,,,0.1
Solyc06g075780.1,Solyc06g075780.1,14,27,7,4,16,3,0.7,33,10,177
Solyc06g075790.2,Solyc06g075790.2,42,24,23,23,24,27,35,33,26,31
Solyc06g075800.1,Solyc06g075800.1,183,58,161,96,418,254,95,143,58,55
Solyc06g075810.2,Solyc06g075810.2,207,79,173,144,266,349,322,194,196,177
Solyc06g075820.1,Solyc06g075820.1,0.2,0.4,,0.3,,0.2,,,,
Solyc06g075830.1,Solyc06g075830.1,189,125,350,236,778,254,219,119,88,70
Solyc06g075840.1,Solyc06g075840.1,,,0.6,,,,,,,
Solyc06g075850.1,Solyc06g075850.1,91,19,141,51,320,65,43,23,9,6
Solyc06g075890.1,Solyc06g075890.1,,,0.6,,,,,,,
Solyc06g075900.1,Solyc06g075900.1,,,0.6,,,,,,,
Solyc06g075910.1,Solyc06g075910.1,,,0.4,,,,,,,
Solyc06g075920.1,Solyc06g075920.1,0.1,,0.3,,,,,0.4,,
Solyc06g075930.1,Solyc06g075930.1,101,31,115,54,332,103,91,43,17,10
Solyc06g075950.1,Solyc06g075950.1,,,0.6,,,,,,,
Solyc06g075960.1,Solyc06g075960.1,250,98,397,302,941,355,236,208,94,67
Solyc06g075970.2,Solyc06g075970.2,4,,,,,,,,,
Solyc06g075980.2,Solyc06g075980.2,12,6,12,8,13,14,13,10,4,6
Solyc06g075990.2,Solyc06g075990.2,0.1,,55,0.4,0.9,0.2,,,,
Solyc06g076000.1,Solyc06g076000.1,,,0.9,,,,,,,
Solyc06g076010.2,Solyc06g076010.2,28,12,39,15,39,42,31,15,10,20
Solyc06g076020.2,Solyc06g076020.2,14,9,32,77,37,109,45,69,24,69
Solyc06g076030.2,Solyc06g076030.2,26,5,5,7,3,3,3,2,1,2
Solyc06g076040.2,Solyc06g076040.2,26,5,9,29,57,85,89,114,17,36
Solyc06g076050.2,Solyc06g076050.2,23,13,11,13,30,28,30,101,55,88
Solyc06g076060.1,Solyc06g076060.1,5,0.2,,,,,,,,0.2
Solyc06g076070.1,Solyc06g076070.1,,,0.2,,,,,,0.3,
Solyc06g076080.1,Solyc06g076080.1,13,57,0.7,,33,7,0.3,33,9,13
Solyc06g076090.2,Solyc06g076090.2,2,0.8,356,456,2,0.7,2,1,0.5,0.2
Solyc06g076100.2,Solyc06g076100.2,66,5,8,13,8,12,11,20,18,9
Solyc06g076110.1,Solyc06g076110.1,27,12,3,9,5,9,14,18,9,8
Solyc06g076120.2,Solyc06g076120.2,47,22,4,12,6,12,20,24,21,11
Solyc06g076130.2,Solyc06g076130.2,30,7,1,3,0.2,0.8,0.8,4,2,0.6
Solyc06g076140.2,Solyc06g076140.2,1109,1824,2322,4155,283,346,489,1090,999,1315
Solyc06g076150.2,Solyc06g076150.2,48,12,18,29,28,50,41,48,60,65
Solyc06g076160.2,Solyc06g076160.2,2,0.2,1,0.9,3,3,1,5,8,2
Solyc06g076170.2,Solyc06g076170.2,,,1,,1,1,1,0.2,,
Solyc06g076190.1,Solyc06g076190.1,4,,3,2,0.4,,0.3,2,0.3,
Solyc06g076200.1,Solyc06g076200.1,,,0.3,,,,0.1,0.1,,
Solyc06g076210.1,Solyc06g076210.1,0.1,,0.6,0.8,0.2,0.2,0.2,0.2,,0.4
Solyc06g076220.2,Solyc06g076220.2,73,26,167,11,50,20,8,6,0.1,0.9
Solyc06g076230.1,Solyc06g076230.1,3,6,3,5,4,10,18,10,7,6
Solyc06g076240.1,Solyc06g076240.1,1,4,2,3,2,6,7,7,4,3
Solyc06g076250.2,Solyc06g076250.2,10,31,23,83,12,12,14,13,18,26
Solyc06g076260.2,Solyc06g076260.2,46,21,40,24,33,25,10,16,12,29
Solyc06g076270.2,Solyc06g076270.2,1,0.4,17,4,7,9,6,19,17,51
Solyc06g076280.1,Solyc06g076280.1,14,8,3,7,13,19,13,28,13,25
Solyc06g076290.1,Solyc06g076290.1,0.6,1,1,0.3,2,2,4,3,3,11
Solyc06g076300.2,Solyc06g076300.2,5,8,7,9,23,24,6,13,0.9,3
Solyc06g076310.1,Solyc06g076310.1,,,1,0.5,1,1,,0.3,,6
Solyc06g076320.1,Solyc06g076320.1,0.8,0.5,8,7,14,34,26,74,280,434
Solyc06g076330.2,Solyc06g076330.2,16,0.1,,0.1,,0.1,,,,
Solyc06g076340.2,Solyc06g076340.2,58,19,22,32,33,43,58,49,56,74
Solyc06g076350.2,Solyc06g076350.2,38,7,5,2,6,9,31,40,68,20
Solyc06g076360.2,Solyc06g076360.2,63,48,42,31,122,143,155,130,125,285
Solyc06g076370.2,Solyc06g076370.2,0.3,,101,4,0.1,,0.1,0.3,0.1,
Solyc06g076380.1,Solyc06g076380.1,,,8,32,0.3,,0.2,,,
Solyc06g076390.2,Solyc06g076390.2,93,39,41,59,48,67,88,70,59,62
Solyc06g076400.2,Solyc06g076400.2,0.8,62,51,77,24,24,31,28,6,0.6
Solyc06g076410.2,Solyc06g076410.2,82,27,42,56,81,95,89,105,98,156
Solyc06g076420.1,Solyc06g076420.1,0.2,,,,,,0.1,,,
Solyc06g076430.2,Solyc06g076430.2,87,32,26,38,33,37,55,39,25,17
Solyc06g076440.1,Solyc06g076440.1,18,6,11,17,8,11,13,11,5,4
Solyc06g076450.2,Solyc06g076450.2,14,2,43,47,1,4,4,12,13,20
Solyc06g076460.2,Solyc06g076460.2,59,49,51,45,42,54,49,50,34,47
Solyc06g076470.2,Solyc06g076470.2,20,157,19,27,4,4,3,2,0.3,0.1
Solyc06g076480.2,Solyc06g076480.2,13,52,32,30,29,57,39,34,28,22
Solyc06g076490.2,Solyc06g076490.2,30,29,15,7,5,9,7,15,14,13
Solyc06g076510.2,Solyc06g076510.2,20,14,38,14,26,27,13,14,7,7
Solyc06g076520.1,Solyc06g076520.1,38,44,51,93,72,58,82,251,1414,2084
Solyc06g076540.1,Solyc06g076540.1,,0.1,,,0.2,0.2,,0.4,8,77
Solyc06g076550.2,Solyc06g076550.2,2,,,,,,,0.1,,
Solyc06g076560.1,Solyc06g076560.1,3,5,6,17,34,20,11,28,424,1155
Solyc06g076570.1,Solyc06g076570.1,30,118,29,37,172,140,131,263,1497,2621
Solyc06g076580.1,Solyc06g076580.1,1,0.4,2,,1,5,3,0.6,,0.7
Solyc06g076590.2,Solyc06g076590.2,25,4,10,9,13,28,17,16,11,16
Solyc06g076600.1,Solyc06g076600.1,0.2,0.4,0.7,0.7,0.3,0.1,0.1,0.3,,0.1
Solyc06g076610.2,Solyc06g076610.2,10,6,9,4,14,14,21,14,5,3
Solyc06g076620.2,Solyc06g076620.2,18,10,11,10,25,39,18,18,13,21
Solyc06g076630.2,Solyc06g076630.2,146,14,19,12,31,21,16,12,6,2
Solyc06g076640.2,Solyc06g076640.2,283,74,101,51,372,319,208,173,63,22
Solyc06g076650.2,Solyc06g076650.2,25,11,16,10,30,29,19,31,20,31
Solyc06g076660.2,Solyc06g076660.2,54,14,46,26,90,44,11,24,10,13
Solyc06g076670.2,Solyc06g076670.2,27,18,56,112,26,60,90,68,106,184
Solyc06g076680.2,Solyc06g076680.2,10,4,5,4,8,8,8,7,3,2
Solyc06g076690.2,Solyc06g076690.2,13,11,17,14,12,14,13,17,64,56
Solyc06g076700.1,Solyc06g076700.1,10,4,7,4,16,16,8,5,6,7
Solyc06g076710.1,Solyc06g076710.1,0.4,0.1,0.9,0.6,0.1,0.1,0.3,0.3,0.4,3
Solyc06g076740.1,Solyc06g076740.1,,,0.7,0.2,0.1,,,0.1,,
Solyc06g076750.2,Solyc06g076750.2,52,25,11,11,14,36,49,55,64,80
Solyc06g076760.1,Solyc06g076760.1,1,0.1,,,,,0.1,,,
Solyc06g076770.2,Solyc06g076770.2,15,60,26,24,32,61,69,28,13,11
Solyc06g076780.2,Solyc06g076780.2,132,9,52,95,42,52,35,43,147,4
Solyc06g076790.1,Solyc06g076790.1,2,688,257,288,144,93,60,35,68,15
Solyc06g076800.2,Solyc06g076800.2,5,2,0.1,0.3,,,0.2,,0.1,
Solyc06g076810.1,Solyc06g076810.1,3,0.7,1,2,0.4,2,0.6,1,1,3
Solyc06g076820.1,Solyc06g076820.1,217,15,46,42,71,178,169,57,14,3
Solyc06g076830.1,Solyc06g076830.1,3,0.3,2,0.8,0.7,0.5,0.3,0.2,,
Solyc06g076840.1,Solyc06g076840.1,,,,,,0.1,,,,
Solyc06g076850.2,Solyc06g076850.2,61,211,26,34,68,170,325,58,15,3
Solyc06g076860.2,Solyc06g076860.2,6,2,3,2,8,7,2,3,0.3,0.2
Solyc06g076870.2,Solyc06g076870.2,0.2,,88,2,0.1,0.1,,0.2,,
Solyc06g076880.2,Solyc06g076880.2,48,17,19,30,21,23,39,46,43,40
Solyc06g076890.1,Solyc06g076890.1,86,23,33,48,61,49,74,72,46,51
Solyc06g076900.2,Solyc06g076900.2,4,3,2,3,3,4,6,5,5,6
Solyc06g076910.1,Solyc06g076910.1,1,,0.1,,,0.1,,,,
Solyc06g076920.2,Solyc06g076920.2,0.1,19,5,3,0.5,0.2,0.1,,0.1,
Solyc06g076930.1,Solyc06g076930.1,,0.1,21,1,,,,0.1,,
Solyc06g076940.2,Solyc06g076940.2,35,25,39,47,64,65,47,73,73,96
Solyc06g076950.2,Solyc06g076950.2,14,4,17,15,15,18,13,14,15,14
Solyc06g076960.1,Solyc06g076960.1,18,8,16,14,11,12,29,34,49,50
Solyc06g076970.2,Solyc06g076970.2,388,165,362,226,478,426,434,502,542,511
Solyc06g076980.2,Solyc06g076980.2,,,12,4,,,0.1,,,
Solyc06g081980.1,Solyc06g081980.1,132,406,277,345,213,329,154,159,273,465
Solyc06g082000.2,Solyc06g082000.2,0.5,2,1,0.9,0.9,0.4,0.8,0.1,0.1,0.1
Solyc06g082010.2,Solyc06g082010.2,79,31,14,28,18,41,48,87,48,44
Solyc06g082020.2,Solyc06g082020.2,44,,,0.3,,,,,,
Solyc06g082030.2,Solyc06g082030.2,16,2,4,5,3,3,0.4,0.1,1,0.3
Solyc06g082040.1,Solyc06g082040.1,0.1,,0.3,,0.1,0.2,,,,
Solyc06g082050.1,Solyc06g082050.1,,,0.5,,,,,,,0.1
Solyc06g082060.2,Solyc06g082060.2,3,4,3,2,2,6,3,3,3,4
Solyc06g082070.2,Solyc06g082070.2,18,16,14,4,38,17,8,15,24,14
Solyc06g082080.2,Solyc06g082080.2,9,6,4,7,5,3,2,7,16,43
Solyc06g082090.2,Solyc06g082090.2,234,116,127,122,325,261,135,139,122,142
Solyc06g082100.2,Solyc06g082100.2,50,8,8,13,17,46,58,52,53,63
Solyc06g082110.1,Solyc06g082110.1,,0.4,,0.4,,,,,,
Solyc06g082120.2,Solyc06g082120.2,119,38,56,51,257,258,215,153,159,232
Solyc06g082130.2,Solyc06g082130.2,0.1,,26,0.2,,,,0.1,,
Solyc06g082140.2,Solyc06g082140.2,638,321,695,528,1788,1036,885,566,410,313
Solyc06g082150.2,Solyc06g082150.2,15,30,13,27,8,9,11,13,18,18
Solyc06g082160.2,Solyc06g082160.2,16,9,11,10,10,10,14,14,17,15
Solyc06g082170.2,Solyc06g082170.2,2,0.6,3,2,0.4,0.3,0.5,1,1,0.7
Solyc06g082180.1,Solyc06g082180.1,20,7,13,10,8,12,8,15,15,9
Solyc06g082190.2,Solyc06g082190.2,9,4,3,3,9,5,4,7,7,2
Solyc06g082200.2,Solyc06g082200.2,15,5,7,6,8,11,10,15,15,17
Solyc06g082210.1,Solyc06g082210.1,54,6,9,10,14,12,13,39,71,35
Solyc06g082220.2,Solyc06g082220.2,107,44,33,58,51,54,54,77,134,94
Solyc06g082230.2,Solyc06g082230.2,2,0.1,4,1,0.4,0.9,0.4,0.4,0.2,0.1
Solyc06g082240.2,Solyc06g082240.2,19,2,0.3,0.8,,0.5,0.9,0.3,,
Solyc06g082250.1,Solyc06g082250.1,5,,,,,,,,,
Solyc06g082260.2,Solyc06g082260.2,16,,,,,,,,,
Solyc06g082270.1,Solyc06g082270.1,59,30,44,53,55,53,37,38,40,54
Solyc06g082280.2,Solyc06g082280.2,7,44,24,31,20,21,20,18,21,47
Solyc06g082290.2,Solyc06g082290.2,16,9,11,15,11,13,10,18,12,19
Solyc06g082300.2,Solyc06g082300.2,0.1,11,6,4,2,3,2,1,,
Solyc06g082310.2,Solyc06g082310.2,14,,,,,,,,,
Solyc06g082320.2,Solyc06g082320.2,0.4,0.1,1,0.6,0.6,0.4,0.8,2,0.3,0.8
Solyc06g082330.1,Solyc06g082330.1,,,0.5,,,,,,,
Solyc06g082340.1,Solyc06g082340.1,0.1,,4,0.9,0.1,0.1,0.1,,,
Solyc06g082350.2,Solyc06g082350.2,9,0.3,5,2,2,0.9,0.4,0.1,,0.1
Solyc06g082360.2,Solyc06g082360.2,41,40,58,39,84,65,46,46,42,54
Solyc06g082370.2,Solyc06g082370.2,25,9,14,11,27,31,37,29,26,42
Solyc06g082380.2,Solyc06g082380.2,30,9,7,8,7,6,5,5,2,2
Solyc06g082390.2,Solyc06g082390.2,87,37,56,50,85,79,98,78,51,70
Solyc06g082410.1,Solyc06g082410.1,,14,37,226,5,11,5,2,0.5,4
Solyc06g082420.2,Solyc06g082420.2,8,,,,0.3,0.4,,,,
Solyc06g082430.1,Solyc06g082430.1,9,0.1,0.3,0.8,0.2,0.2,0.1,,,
Solyc06g082440.1,Solyc06g082440.1,10,9,6,4,13,15,4,25,7,8
Solyc06g082450.1,Solyc06g082450.1,6,,,,,,,,,
Solyc06g082460.1,Solyc06g082460.1,3,0.2,0.6,3,16,45,36,14,2,
Solyc06g082470.2,Solyc06g082470.2,21,4,21,51,7,15,16,20,28,29
Solyc06g082480.2,Solyc06g082480.2,7,4,7,8,3,5,6,4,2,5
Solyc06g082490.2,Solyc06g082490.2,19,8,14,12,14,18,15,17,19,17
Solyc06g082500.2,Solyc06g082500.2,7,7,34,14,20,24,12,30,10,3
Solyc06g082510.2,Solyc06g082510.2,16,7,8,10,12,12,16,15,12,16
Solyc06g082520.2,Solyc06g082520.2,21,7,20,16,12,15,13,13,11,11
Solyc06g082530.1,Solyc06g082530.1,6,0.6,0.5,0.6,0.3,1,0.2,0.1,,
Solyc06g082560.1,Solyc06g082560.1,0.4,,,,0.1,0.1,0.1,0.1,,0.3
Solyc06g082570.1,Solyc06g082570.1,,10,13,5,29,17,6,6,9,1
Solyc06g082580.2,Solyc06g082580.2,116,59,67,89,117,126,97,115,86,101
Solyc06g082590.1,PTI6,42,24,3,3,14,15,32,61,11,3
Solyc06g082600.2,Solyc06g082600.2,201,222,104,74,173,173,168,158,245,177
Solyc06g082610.2,Solyc06g082610.2,27,15,22,6,20,27,20,16,4,0.7
Solyc06g082620.1,Solyc06g082620.1,402,159,230,293,471,448,795,1399,1029,392
Solyc06g082630.2,Solyc06g082630.2,67,18,33,32,49,64,54,58,64,68
Solyc06g082640.2,Solyc06g082640.2,,0.1,,,,,,0.8,0.7,0.3
Solyc06g082650.2,Solyc06g082650.2,141,77,151,111,339,193,146,112,92,92
Solyc06g082660.2,Solyc06g082660.2,42,18,21,28,26,27,35,39,63,58
Solyc06g082670.2,Solyc06g082670.2,159,87,154,109,257,171,153,148,120,113
Solyc06g082680.2,Solyc06g082680.2,93,44,83,74,129,129,116,128,135,138
Solyc06g082690.1,Solyc06g082690.1,0.4,0.9,2,,1,1,0.7,,0.3,0.3
Solyc06g082700.1,Solyc06g082700.1,2,2,5,1,2,2,0.8,0.2,0.2,
Solyc06g082710.2,Solyc06g082710.2,39,24,20,22,27,21,16,35,55,60
Solyc06g082720.1,Solyc06g082720.1,0.6,,0.1,0.1,,,,,,
Solyc06g082730.2,Solyc06g082730.2,11,,0.5,,0.1,,,,,
Solyc06g082740.2,Solyc06g082740.2,,,5,0.1,,,,,,
Solyc06g082750.2,Solyc06g082750.2,15,198,110,141,237,168,102,66,66,65
Solyc06g082760.2,Solyc06g082760.2,4,37,23,25,36,21,12,11,10,12
Solyc06g082770.2,Solyc06g082770.2,5,,0.5,17,0.1,0.3,,,0.3,
Solyc06g082780.2,Solyc06g082780.2,12,4,23,9,10,10,8,7,6,9
Solyc06g082790.1,Solyc06g082790.1,,,,,,,0.3,,,0.2
Solyc06g082800.2,Solyc06g082800.2,37,14,18,16,48,41,44,38,31,41
Solyc06g082810.2,Solyc06g082810.2,23,7,11,7,26,26,31,23,6,10
Solyc06g082820.2,Solyc06g082820.2,0.4,,20,40,,,0.1,,,
Solyc06g082830.2,Solyc06g082830.2,199,135,157,175,209,168,299,386,311,228
Solyc06g082840.2,Solyc06g082840.2,73,28,31,40,40,52,63,69,51,54
Solyc06g082850.2,Solyc06g082850.2,3,0.3,0.7,0.3,4,0.5,0.6,,,
Solyc06g082860.2,Solyc06g082860.2,18,2,0.7,0.3,1,0.4,0.3,0.3,0.1,
Solyc06g082870.2,Solyc06g082870.2,450,162,299,246,804,600,641,393,264,249
Solyc06g082880.1,Solyc06g082880.1,1,0.4,0.4,0.4,1,1,2,1,0.9,0.6
Solyc06g082890.2,Solyc06g082890.2,27,8,10,9,14,19,15,17,18,27
Solyc06g082900.2,Solyc06g082900.2,39,20,21,28,32,33,37,26,28,31
Solyc06g082910.2,Solyc06g082910.2,46,18,10,14,23,48,26,18,1,1
Solyc06g082920.2,Solyc06g082920.2,61,22,12,17,12,23,26,30,26,30
Solyc06g082930.2,Solyc06g082930.2,147,34,43,56,63,123,123,106,69,72
Solyc06g082940.2,Solyc06g082940.2,3,2283,560,372,450,365,313,106,41,0.7
Solyc06g082950.2,Solyc06g082950.2,0.6,1114,205,175,211,168,200,74,53,4
